[2026-06-02 START] INIT | Bring 5080 online as 2nd-GPU OCR worker on shared forward queue (vols 1862-1875) | OK
[2026-06-02 06:31 PT] WORKER | === 5080 queue worker online (pid 20676, worker_id=5080-1) sharing 5090 queue 100.70.54.56 === | OK
[2026-06-02 06:31 PT] RUN | 1871-72: START local OCR (1871-72_Statutes.pdf) on 5080 | OK
[2026-06-02 06:33 PT] VERIFY | docTR loads+OCRs on 5080 via Python312 (12.7s load, 19 lines, peak 0.45GB VRAM); surya-venv LACKS doctr -> worker uses Python312 | OK
[2026-06-02 06:33 PT] VERIFY | Worker pid 20676 parent=svchost.exe (Task Scheduler) -> session-independent; child=ocr_only_5080.py OCR proc | OK
[2026-06-02 06:33 PT] VERIFY | 5090 queue: 1871-72 in_progress by 5080-1 (atomic claim via shared lock); 5090 has 1865-66/1867-68/1869-70 -> NO collision | OK
[2026-06-02 06:33 PT] VERIFY | Task PatoLex_OCR_5080 Running; Task PatoLex_OCR_5080_Backoff_0800 Ready, Next Run 08:00; ingest_watcher.py running (pid 50996) | OK
[2026-06-02 06:33 PT] PROGRESS | 1871-72 rendering (874 pages so far); on OCR exit-0 worker scp's outputs+marker to 5090 -> ingest loop ingests | OK
[2026-06-02 07:39 PT] PUSH | 1871-72: OCR outputs pushed to 5090 | OK
[2026-06-02 07:39 PT] RUN | 1871-72: OCR DONE + pushed + marked done on 5090 | OK
[2026-06-02 07:40 PT] WORKER | queue drained / no claimable volume -- exiting | OK
[2026-06-02 10:55 PT] WORKER | === 5080 queue worker online (pid 46240, worker_id=5080-1) sharing 5090 queue 100.70.54.56 === | OK
[2026-06-02 10:55 PT] RUN | 1880: START local OCR (1880_Statutes.pdf) on 5080 | OK
[2026-06-02 11:14 PT] PUSH | 1880: OCR outputs pushed to 5090 | OK
[2026-06-02 11:14 PT] RUN | 1880: OCR DONE + pushed + marked done on 5090 | OK
[2026-06-02 11:14 PT] RUN | 1881: START local OCR (1881_Statutes.pdf) on 5080 | OK
[2026-06-02 11:24 PT] PUSH | 1881: OCR outputs pushed to 5090 | OK
[2026-06-02 11:24 PT] RUN | 1881: OCR DONE + pushed + marked done on 5090 | OK
[2026-06-02 11:24 PT] RUN | 1883-84: START local OCR (1883-84_Statutes.pdf) on 5080 | OK
[2026-06-02 11:26 PT] PUSH | 1883-84: OCR outputs pushed to 5090 | OK
[2026-06-02 11:26 PT] RUN | 1883-84: OCR DONE + pushed + marked done on 5090 | OK
[2026-06-02 11:26 PT] RUN | 1885-86: START local OCR (1885-86_Statutes.pdf) on 5080 | OK
[2026-06-02 11:44 PT] PUSH | 1885-86: OCR outputs pushed to 5090 | OK
[2026-06-02 11:44 PT] RUN | 1885-86: OCR DONE + pushed + marked done on 5090 | OK
[2026-06-02 11:44 PT] RUN | 1887: START local OCR (1887_Statutes.pdf) on 5080 | OK
[2026-06-02 12:05 PT] PUSH | 1887: OCR outputs pushed to 5090 | OK
[2026-06-02 12:05 PT] RUN | 1887: OCR DONE + pushed + marked done on 5090 | OK
[2026-06-02 12:05 PT] RUN | 1889: START local OCR (1889_Statutes.pdf) on 5080 | OK
[2026-06-02 12:54 PT] PUSH | 1889: OCR outputs pushed to 5090 | OK
[2026-06-02 12:54 PT] RUN | 1889: OCR DONE + pushed + marked done on 5090 | OK
[2026-06-02 12:54 PT] RUN | 1893: START local OCR (1893_Statutes.pdf) on 5080 | OK
[2026-06-02 13:16 PT] WORKER | === 5080 queue worker online (pid 49428, worker_id=5080-1) sharing 5090 queue 100.70.54.56 === | OK
[2026-06-02 13:16 PT] RUN | 1875-76-code: START local OCR (1875-76_Code.pdf) on 5080 | OK
[2026-06-02 13:25 PT] PUSH | 1875-76-code: OCR outputs pushed to 5090 | OK
[2026-06-02 13:25 PT] RUN | 1875-76-code: OCR DONE + pushed + marked done on 5090 | OK
[2026-06-02 13:25 PT] RUN | 1877-78-code: START local OCR (1877-78_Code.pdf) on 5080 | OK
[2026-06-02 13:33 PT] PUSH | 1877-78-code: OCR outputs pushed to 5090 | OK
[2026-06-02 13:33 PT] RUN | 1877-78-code: OCR DONE + pushed + marked done on 5090 | OK
[2026-06-02 13:33 PT] RUN | 1880-code: START local OCR (1880_Code.pdf) on 5080 | OK
[2026-06-02 13:58 PT] PUSH | 1880-code: OCR outputs pushed to 5090 | OK
[2026-06-02 13:58 PT] RUN | 1880-code: OCR DONE + pushed + marked done on 5090 | OK
[2026-06-02 13:58 PT] RUN | 1893: START local OCR (1893_Statutes.pdf) on 5080 | OK
[2026-06-02 14:26 PT] PUSH | 1893: OCR outputs pushed to 5090 | OK
[2026-06-02 14:26 PT] RUN | 1893: OCR DONE + pushed + marked done on 5090 | OK
[2026-06-02 14:26 PT] RUN | 1897: START local OCR (1897_Statutes.pdf) on 5080 | OK
[2026-06-02 15:11 PT] PUSH | 1897: OCR outputs pushed to 5090 | OK
[2026-06-02 15:11 PT] RUN | 1897: OCR DONE + pushed + marked done on 5090 | OK
[2026-06-02 15:11 PT] RUN | 1903: START local OCR (1903_Statutes.pdf) on 5080 | OK
[2026-06-02 16:04 PT] PUSH | 1903: OCR outputs pushed to 5090 | OK
[2026-06-02 16:04 PT] RUN | 1903: OCR DONE + pushed + marked done on 5090 | OK
[2026-06-02 16:04 PT] RUN | 1910-11: START local OCR (1910-11_Statutes.pdf) on 5080 | OK
[2026-06-02 18:28 PT] PUSH | 1910-11: OCR outputs pushed to 5090 | OK
[2026-06-02 18:28 PT] RUN | 1910-11: OCR DONE + pushed + marked done on 5090 | OK
[2026-06-02 18:28 PT] RUN | 1919-vol1-chapters: START local OCR (1919_Vol1_Chapters.pdf) on 5080 | OK
[2026-06-02 18:38 PT] WORKER | === 5080 queue worker online (pid 46384, worker_id=5080-2) sharing 5090 queue 100.70.54.56 === | OK
[2026-06-02 18:38 PT] RUN | 1929-vol1-28chapters: START local OCR (1929_Vol1_28Chapters.pdf) on 5080 | OK
[2026-06-02 18:39 PT] PUSH | 1929-vol1-28chapters: OCR outputs pushed to 5090 | OK
[2026-06-02 18:39 PT] RUN | 1929-vol1-28chapters: OCR DONE + pushed + marked done on 5090 | OK
[2026-06-02 18:39 PT] RUN | 1929-vol1-29chapters: START local OCR (1929_Vol1_29Chapters.pdf) on 5080 | OK
[2026-06-02 19:19 PT] WORKER | === 5080 queue worker online (pid 44604, worker_id=5080-2) sharing 5090 queue 100.70.54.56 === | OK
[2026-06-02 19:19 PT] RUN | 1915-vol1-chapters: START local OCR (1915_Vol1_Chapters.pdf) on 5080 | OK
[2026-06-02 20:24 PT] PUSH | 1919-vol1-chapters: OCR outputs pushed to 5090 | OK
[2026-06-02 20:24 PT] RUN | 1919-vol1-chapters: OCR DONE + pushed + marked done on 5090 | OK
[2026-06-02 20:24 PT] RUN | 1913-statutes: START local OCR (1913_Statutes.pdf) on 5080 | OK
[2026-06-02 23:29 PT] PUSH | 1913-statutes: OCR outputs pushed to 5090 | OK
[2026-06-02 23:29 PT] RUN | 1913-statutes: OCR DONE + pushed + marked done on 5090 | OK
[2026-06-02 23:29 PT] RUN | 1933-vol1-chapters: START local OCR (1933_Vol1_Chapters.pdf) on 5080 | OK
[2026-06-03 03:42 PT] PUSH | 1933-vol1-chapters: OCR outputs pushed to 5090 | OK
[2026-06-03 03:42 PT] RUN | 1933-vol1-chapters: OCR DONE + pushed + marked done on 5090 | OK
[2026-06-03 03:42 PT] RUN | 1943-vol1-42chapters: START local OCR (1943_Vol1_42Chapters.pdf) on 5080 | OK
[2026-06-03 03:49 PT] PUSH | 1943-vol1-42chapters: OCR outputs pushed to 5090 | OK
[2026-06-03 03:49 PT] RUN | 1943-vol1-42chapters: OCR DONE + pushed + marked done on 5090 | OK
[2026-06-03 03:49 PT] RUN | 1943-vol1-chapters: START local OCR (1943_Vol1_Chapters.pdf) on 5080 | OK
[2026-06-03 07:17 PT] PUSH | 1943-vol1-chapters: OCR outputs pushed to 5090 | OK
[2026-06-03 07:17 PT] RUN | 1943-vol1-chapters: OCR DONE + pushed + marked done on 5090 | OK
[2026-06-03 07:17 PT] RUN | 1950-vol1-chapters: START local OCR (1950_Vol1_Chapters.pdf) on 5080 | OK
[2026-06-03 07:41 PT] PUSH | 1950-vol1-chapters: OCR outputs pushed to 5090 | OK
[2026-06-03 07:41 PT] RUN | 1950-vol1-chapters: OCR DONE + pushed + marked done on 5090 | OK
[2026-06-03 07:41 PT] RUN | 1951-vol1-50chapters: START local OCR (1951_Vol1_50Chapters.pdf) on 5080 | OK
[2026-06-03 08:05 PT] WORKER | === 5080 queue worker online (pid 48436, worker_id=5080-1) sharing 5090 queue 100.70.54.56 === | OK
[2026-06-03 08:05 PT] RUN | 1951-vol1-chapters: START local OCR (1951_Vol1_Chapters.pdf) on 5080 | OK
[2026-06-03 10:48 PT] PUSH | 1951-vol1-chapters: OCR outputs pushed to 5090 | OK
[2026-06-03 10:48 PT] RUN | 1951-vol1-chapters: OCR DONE + pushed + marked done on 5090 | OK
[2026-06-03 10:48 PT] RUN | 1953-vol1-52chapters: START local OCR (1953_Vol1_52Chapters.pdf) on 5080 | OK
[2026-06-03 11:26 PT] PUSH | 1953-vol1-52chapters: OCR outputs pushed to 5090 | OK
[2026-06-03 11:26 PT] RUN | 1953-vol1-52chapters: OCR DONE + pushed + marked done on 5090 | OK
[2026-06-03 11:26 PT] RUN | 1953-vol1-chapters: START local OCR (1953_Vol1_Chapters.pdf) on 5080 | OK
[2026-06-03 13:35 PT] PUSH | 1953-vol1-chapters: OCR outputs pushed to 5090 | OK
[2026-06-03 13:35 PT] RUN | 1953-vol1-chapters: OCR DONE + pushed + marked done on 5090 | OK
[2026-06-03 13:35 PT] RUN | 1955-vol1-54chapters: START local OCR (1955_Vol1_54Chapters.pdf) on 5080 | OK
